$realGDP_Growth
      realGDP_Growth    difrir  M2_Growth   inflation
" [1,]      1.0000000 0.0000000 0.00000000 0.000000000"
" [2,]      0.8140896 0.1275906 0.04826117 0.010058634"
" [3,]      0.8078520 0.1152432 0.06709427 0.009810466"
" [4,]      0.7507039 0.1229884 0.09689346 0.029414271"
" [5,]      0.7199609 0.1283408 0.09959847 0.052099904"
" [6,]      0.6817838 0.1270729 0.10192009 0.089223160"
" [7,]      0.6371444 0.1567061 0.10146491 0.104684552"
" [8,]      0.6039257 0.1607262 0.10129577 0.134052277"
" [9,]      0.5761946 0.1737627 0.09663101 0.153411680"
"[10,]      0.5683433 0.1859752 0.09493917 0.150742382"
"[11,]      0.5572643 0.1838028 0.09526874 0.163664078"
"[12,]      0.5534084 0.1822663 0.09542477 0.168900529"
"[13,]      0.5453650 0.1791077 0.09381696 0.181710289"
"[14,]      0.5373152 0.1778444 0.09452762 0.190312821"
"[15,]      0.5299690 0.1788674 0.09670732 0.194456203"
"[16,]      0.5280894 0.1791573 0.09879429 0.193958964"
"[17,]      0.5211164 0.1816406 0.10231253 0.194930422"
"[18,]      0.5199778 0.1815758 0.10324751 0.195198889"
"[19,]      0.5172432 0.1813977 0.10518927 0.196169803"
"[20,]      0.5155405 0.1808168 0.10729119 0.196351586"
"[21,]      0.5147038 0.1806904 0.10788919 0.196716616"
"[22,]      0.5141642 0.1802230 0.10849167 0.197121148"
"[23,]      0.5127193 0.1797647 0.10875262 0.198763358"
"[24,]      0.5101243 0.1791870 0.10832005 0.202368653"
