Intdate,GDPC96,M2,CPI,Tbill3,Dm2,RGDP
19590101,2976.629,289.2,28.993,2.80,997.4821509,10266.7161
19590401,3049.011,294.1,29.043,3.21,1012.636436,10498.26464
19590701,3043.139,296.7,29.193,4.04,1016.339533,10424.20786
19591001,3055.104,297.8,29.370,4.49,1013.959823,10402.12462
19600101,3123.162,299.4,29.397,3.31,1018.471273,10624.08409
19600401,3111.310,302.3,29.573,2.46,1022.216211,10520.77909
19600701,3119.057,308.4,29.590,2.48,1042.244001,10540.91585
19601001,3081.300,312.4,29.780,2.25,1049.026192,10346.8771
19610101,3102.251,318.3,29.840,2.39,1066.689008,10396.28351
19610401,3159.918,324.3,29.830,2.33,1087.160577,10593.0875
19610701,3212.606,329.5,29.947,2.28,1100.277156,10727.63883
19611001,3277.717,335.5,29.990,2.60,1118.706235,10929.36646
19620101,3336.753,343.1,30.107,2.72,1139.602086,11082.9807
19620401,3372.706,349.3,30.220,2.73,1155.857048,11160.5096
19620701,3404.833,354.9,30.307,2.78,1171.016597,11234.47718
19621001,3418.046,362.7,30.380,2.87,1193.877551,11250.97433
19630101,3456.080,370.7,30.477,2.89,1216.327066,11339.96128
19630401,3501.134,378.4,30.533,2.99,1239.31484,11466.72125
19630701,3569.479,386.0,30.720,3.38,1256.510417,11619.39779
19631001,3594.954,393.2,30.803,3.52,1276.499042,11670.79181
19640101,3672.708,399.8,30.930,3.54,1292.596185,11874.258
19640401,3716.382,407.1,30.980,3.48,1314.073596,11996.06843
19640701,3766.862,416.9,31.050,3.53,1342.673108,12131.60064
19641001,3780.219,424.7,31.193,3.84,1361.523419,12118.8055
19650101,3873.452,433.2,31.290,3.93,1384.467881,12379.20102
19650401,3926.406,440.1,31.490,3.80,1397.586535,12468.73928
19650701,4006.152,449.5,31.583,3.92,1423.234018,12684.52015
19651001,4100.631,459.2,31.750,4.38,1446.299213,12915.37323
19660101,4201.891,467.2,32.047,4.59,1457.85877,13111.65164
19660401,4219.097,471.2,32.337,4.50,1457.154343,13047.27402
19660701,4249.152,475.4,32.617,5.37,1457.522151,13027.41515
19661001,4285.582,480.2,32.883,4.96,1460.329045,13032.81939
19670101,4324.926,489.7,32.967,4.26,1485.424819,13118.95532
19670401,4328.720,502.0,33.167,3.54,1513.552628,13051.28592
19670701,4366.088,514.7,33.500,4.42,1536.41791,13033.09851
19671001,4401.233,524.8,33.867,4.97,1549.591047,12995.63882
19680101,4490.609,533.2,34.200,5.17,1559.064327,13130.43567
19680401,4566.442,542.6,34.533,5.52,1571.250688,13223.41528
19680701,4599.332,553.6,35.000,5.19,1581.714286,13140.94857
19681001,4619.803,566.8,35.433,5.96,1599.638755,13038.13677
19690101,4691.637,574.4,35.867,6.02,1601.472105,13080.65074
19690401,4706.684,578.5,36.433,6.44,1587.846183,12918.73851
19690701,4736.143,582.1,36.933,7.09,1576.097257,12823.60761
19691001,4715.469,587.9,37.500,7.82,1567.733333,12574.584
19700101,4707.112,587.3,38.100,6.63,1541.469816,12354.62467
19700401,4715.441,595.2,38.633,6.68,1540.651774,12205.73344
19700701,4757.213,611.2,39.033,6.12,1565.854533,12187.66941
19701001,4708.281,626.5,39.600,4.87,1582.070707,11889.59848
19710101,4834.349,649.9,39.933,3.38,1627.476022,12106.1503
19710401,4861.938,673.0,40.300,4.75,1669.975186,12064.36228
19710701,4899.950,692.5,40.700,4.69,1701.474201,12039.18919
19711001,4914.261,710.3,41.000,4.01,1732.439024,11986.00244
19720101,5002.436,733.5,41.333,3.73,1774.611086,12102.76534
19720401,5118.278,749.7,41.600,3.91,1802.163462,12303.55288
19720701,5165.448,778.3,41.933,4.66,1856.056089,12318.33639
