intdate,unemp_nsa
19480101,4.0
19480201,4.7
19480301,4.5
19480401,4.0
19480501,3.4
19480601,3.9
19480701,3.9
19480801,3.6
19480901,3.4
19481001,2.9
19481101,3.3
19481201,3.6
19490101,5.0
19490201,5.8
19490301,5.6
19490401,5.4
19490501,5.7
19490601,6.4
19490701,7.0
19490801,6.3
19490901,5.9
19491001,6.1
19491101,5.7
19491201,6.0
19500101,7.6
19500201,7.9
19500301,7.1
19500401,6.0
19500501,5.3
19500601,5.6
19500701,5.3
19500801,4.1
19500901,4.0
19501001,3.3
19501101,3.8
19501201,3.9
19510101,4.4
19510201,4.2
19510301,3.8
19510401,3.2
19510501,2.9
19510601,3.4
19510701,3.3
19510801,2.9
19510901,3.0
19511001,2.8
19511101,3.2
19511201,2.9
19520101,3.7
19520201,3.8
19520301,3.3
19520401,3.0
19520501,2.9
19520601,3.2
19520701,3.3
19520801,3.1
19520901,2.7
19521001,2.4
19521101,2.5
19521201,2.5
19530101,3.4
19530201,3.2
19530301,2.9
19530401,2.8
19530501,2.5
19530601,2.7
19530701,2.7
19530801,2.4
19530901,2.6
19531001,2.5
19531101,3.2
19531201,4.2
19540101,5.7
19540201,6.3
19540301,6.4
19540401,6.1
19540501,5.7
19540601,5.7
19540701,5.7
19540801,5.4
19540901,5.3
19541001,4.6
19541101,4.9
19541201,4.8
19550101,5.8
19550201,5.7
19550301,5.2
19550401,4.9
19550501,4.2
19550601,4.4
19550701,4.0
19550801,3.8
19550901,3.5
19551001,3.4
19551101,3.8
19551201,3.9
19560101,4.7
19560201,4.8
19560301,4.7
19560401,4.1
19560501,4.2
19560601,4.7
19560701,4.4
19560801,3.7
19560901,3.4
19561001,3.1
19561101,3.9
19561201,4.0
19570101,4.9
19570201,4.7
19570301,4.3
19570401,4.0
19570501,3.9
19570601,4.6
19570701,4.1
19570801,3.7
19570901,3.7
19571001,3.6
19571101,4.6
19571201,5.0
19580101,6.8
19580201,7.7
19580301,7.7
19580401,7.5
19580501,7.1
19580601,7.6
19580701,7.4
19580801,6.7
19580901,6.0
19581001,5.5
19581101,5.6
19581201,6.0
19590101,7.0
19590201,7.0
19590301,6.4
19590401,5.2
19590501,4.9
19590601,5.4
19590701,5.2
19590801,4.8
19590901,4.7
19591001,4.7
19591101,5.3
19591201,5.1
19600101,6.1
19600201,5.7
19600301,6.1
19600401,5.2
19600501,4.8
19600601,5.8
19600701,5.5
19600801,5.2
19600901,4.7
19601001,5.0
19601101,5.6
19601201,6.4
19610101,7.7
19610201,8.1
19610301,7.7
19610401,7.0
19610501,6.6
19610601,7.3
19610701,6.9
19610801,6.2
19610901,5.8
19611001,5.5
19611101,5.6
19611201,5.8
19620101,6.7
19620201,6.5
19620301,6.2
19620401,5.5
19620501,5.1
19620601,5.9
19620701,5.3
19620801,5.3
19620901,4.9
19621001,4.5
19621101,5.3
19621201,5.3
19630101,6.6
19630201,6.9
19630301,6.3
19630401,5.6
19630501,5.5
19630601,6.2
19630701,5.6
19630801,5.2
19630901,4.8
19631001,4.7
19631101,5.3
19631201,5.3
19640101,6.4
19640201,6.2
19640301,5.9
19640401,5.3
19640501,4.8
19640601,5.9
19640701,4.9
19640801,4.8
19640901,4.5
19641001,4.4
19641101,4.5
19641201,4.7
19650101,5.5
19650201,5.7
19650301,5.1
19650401,4.7
19650501,4.3
19650601,5.3
19650701,4.5
19650801,4.2
19650901,3.8
