DATE,NAEXKP01DEQ189S,NAEXKP01GBQ652S,NAEXKP01JPQ189S
1955-01-01,,102017000000,
1955-04-01,,102139000000,
1955-07-01,,104238000000,
1955-10-01,,103678000000,
1956-01-01,,104811000000,
1956-04-01,,104591000000,
1956-07-01,,104476000000,
1956-10-01,,104934000000,
1957-01-01,,106988000000,
1957-04-01,,107011000000,
1957-07-01,,106316000000,
1957-10-01,,106525000000,
1958-01-01,,108731000000,
1958-04-01,,106241000000,
1958-07-01,,108589000000,
1958-10-01,,108670000000,
1959-01-01,,109258000000,
1959-04-01,,111034000000,
1959-07-01,,113396000000,
1959-10-01,,116301000000,
1960-01-01,,119158000000,
1960-04-01,,118220000000,
1960-07-01,,120089000000,
1960-10-01,,120819000000,
1961-01-01,,122782000000,
1961-04-01,,123267000000,
1961-07-01,,122633000000,
1961-10-01,,122412000000,
1962-01-01,,123001000000,
1962-04-01,,124166000000,
1962-07-01,,124919000000,
1962-10-01,,124416000000,
1963-01-01,,125097000000,
1963-04-01,,130461000000,
1963-07-01,,131075000000,
1963-10-01,,134096000000,
1964-01-01,,134864000000,
1964-04-01,,137228000000,
1964-07-01,,137740000000,
1964-10-01,,139872000000,
1965-01-01,,139483000000,
1965-04-01,,139602000000,
1965-07-01,,140784000000,
1965-10-01,,141663000000,
1966-01-01,,141872000000,
1966-04-01,,142667000000,
1966-07-01,,143183000000,
1966-10-01,,142577000000,
1967-01-01,,144536000000,
1967-04-01,,146529000000,
1967-07-01,,147194000000,
1967-10-01,,147960000000,
1968-01-01,,153354000000,
1968-04-01,,152761000000,
1968-07-01,,155824000000,
1968-10-01,,156503000000,
1969-01-01,,156112000000,
1969-04-01,,157228000000,
1969-07-01,,158159000000,
1969-10-01,,158979000000,
1970-01-01,,157884000000,
1970-04-01,,161652000000,
1970-07-01,,163263000000,
1970-10-01,,164771000000,
1971-01-01,,163732000000,
1971-04-01,,166606000000,
1971-07-01,,169572000000,
1971-10-01,,170207000000,
1972-01-01,,170314000000,
1972-04-01,,174840000000,
1972-07-01,,175260000000,
1972-10-01,,178032000000,
1973-01-01,,186968000000,
1973-04-01,,187241000000,
1973-07-01,,185345000000,
1973-10-01,,184558000000,
1974-01-01,,179528000000,
1974-04-01,,182105000000,
1974-07-01,,183246000000,
1974-10-01,,180483000000,
1975-01-01,,180603000000,
1975-04-01,,177509000000,
1975-07-01,,176931000000,
1975-10-01,,179080000000,
1976-01-01,,182043000000,
1976-04-01,,181669000000,
1976-07-01,,184000000000,
1976-10-01,,188037000000,
