intdate,UK
19550401,102139000000
19550701,104238000000
19551001,103678000000
19560101,104811000000
19560401,104591000000
19560701,104476000000
19561001,104934000000
19570101,106988000000
19570401,107011000000
19570701,106316000000
19571001,106525000000
19580101,108731000000
19580401,106241000000
19580701,108589000000
19581001,108670000000
19590101,109258000000
19590401,111034000000
19590701,113396000000
19591001,116301000000
19600101,119158000000
19600401,118220000000
19600701,120089000000
19601001,120819000000
19610101,122782000000
19610401,123267000000
19610701,122633000000
19611001,122412000000
19620101,123001000000
19620401,124166000000
19620701,124919000000
19621001,124416000000
19630101,125097000000
19630401,130461000000
19630701,131075000000
19631001,134096000000
19640101,134864000000
19640401,137228000000
19640701,137740000000
19641001,139872000000
19650101,139483000000
19650401,139602000000
19650701,140784000000
19651001,141663000000
19660101,141872000000
19660401,142667000000
19660701,143183000000
19661001,142577000000
19670101,144536000000
19670401,146529000000
19670701,147194000000
19671001,147960000000
19680101,153354000000
19680401,152761000000
19680701,155824000000
19681001,156503000000
19690101,156112000000
19690401,157228000000
19690701,158159000000
19691001,158979000000
19700101,157884000000
19700401,161652000000
19700701,163263000000
19701001,164771000000
19710101,163732000000
19710401,166606000000
19710701,169572000000
19711001,170207000000
19720101,170314000000
19720401,174840000000
19720701,175260000000
19721001,178032000000
19730101,186968000000
19730401,187241000000
19730701,185345000000
19731001,184558000000
19740101,179528000000
19740401,182105000000
19740701,183246000000
19741001,180483000000
19750101,180603000000
19750401,177509000000
19750701,176931000000
19751001,179080000000
19760101,182043000000
19760401,181669000000
19760701,184000000000
19761001,188037000000
19770101,188138000000
19770401,186977000000
19770701,188264000000
19771001,191472000000
19780101,192949000000
19780401,195341000000
19780701,197898000000
19781001,199843000000
19790101,198861000000
19790401,207589000000
19790701,203180000000
19791001,205300000000
19800101,203035000000
19800401,199067000000
19800701,198586000000
19801001,196563000000
19810101,196026000000
19810401,196559000000
19810701,198842000000
19811001,199069000000
19820101,199357000000
19820401,201795000000
19820701,202179000000
19821001,203572000000
19830101,207079000000
19830401,208915000000
19830701,211359000000
19831001,213458000000
19840101,215256000000
19840401,213269000000
19840701,214059000000
19841001,217213000000
19850101,219714000000
19850401,223299000000
19850701,223107000000
19851001,224158000000
19860101,225834000000
19860401,228391000000
19860701,229928000000
19861001,234262000000
19870101,236229000000
19870401,239505000000
19870701,245364000000
19871001,248254000000
19880101,252941000000
19880401,254603000000
19880701,258558000000
19881001,260772000000
19890101,261846000000
19890401,263514000000
19890701,263651000000
19891001,263719000000
19900101,265371000000
19900401,266644000000
19900701,263704000000
19901001,262665000000
19910101,261838000000
19910401,261442000000
19910701,260779000000
19911001,261240000000
19920101,261346000000
19920401,261067000000
19920701,262816000000
19921001,264742000000
19930101,266762000000
19930401,268180000000
19930701,270418000000
19931001,272389000000
19940101,275836000000
19940401,279116000000
19940701,282336000000
19941001,283840000000
19950101,284637000000
19950401,285751000000
19950701,288862000000
19951001,290247000000
19960101,293666000000
19960401,294490000000
19960701,295521000000
19961001,296474000000
19970101,297909000000
19970401,301318000000
19970701,303490000000
19971001,307560000000
19980101,309517000000
19980401,311857000000
19980701,314098000000
19981001,317295000000
19990101,318806000000
19990401,319560000000
19990701,324767000000
19991001,329111000000
20000101,332555000000
20000401,334960000000
20000701,336221000000
20001001,337211000000
20010101,341026000000
20010401,343637000000
20010701,345468000000
20011001,346546000000
20020101,348115000000
20020401,350978000000
20020701,354058000000
20021001,357286000000
20030101,360733000000
20030401,365803000000
20030701,370428000000
20031001,374127000000
20040101,375324000000
20040401,376455000000
20040701,376942000000
20041001,378470000000
20050101,381142000000
20050401,385058000000
20050701,389023000000
20051001,394268000000
20060101,396566000000
20060401,398553000000
20060701,399251000000
20061001,402258000000
20070101,405329000000
20070401,407767000000
20070701,411205000000
20071001,413131000000
20080101,414424000000
20080401,413465000000
20080701,406584000000
20081001,397522000000
20090101,390406000000
20090401,389388000000
20090701,390167000000
20091001,391685000000
20100101,393678000000
20100401,397525000000
20100701,400096000000
20101001,400195000000
20110101,402341000000
20110401,403260000000
20110701,406068000000
20111001,406008000000
20120101,406283000000
20120401,405560000000
20120701,408938000000
20121001,407557000000
20130101,409985000000
20130401,412620000000
20130701,415577000000
20131001,417265000000
20140101,420946000000
20140401,424454000000
20140701,427080000000
20141001,429673000000
20150101,430962000000
